Lemma,POS,P4 Occurrences,P5 Occurrences
十分,な-Adjective,17,34
走る,Verb,17,21
違い,Noun,17,18
気配,Noun,17,51
加減,Noun,17,27
調子,Noun,17,77
えへ,Interjection,17,0
暴走,Noun,17,21
殺し,Noun,17,14
有り,Noun,17,49
価値,Noun,17,50
喧嘩,Noun,17,11
予定,Noun,17,197
諦める,Verb,17,46
返す,Verb,17,57
誕生,Noun,17,7
完全,な-Adjective,17,26
世知,Noun,17,3
試験,Noun,17,80
期末,Noun,17,6
夏休み,Noun,17,33
教科,Noun,17,1
自信,Noun,17,36
喫茶,Noun,17,13
ずつ,Particle,17,10
気合い,Noun,17,27
学生,Noun,16,31
具合,Noun,16,4
世話,Noun,16,40
さっさと,Adverb,16,85
教室,Noun,16,17
仲良く,Adverb,16,31
流れ,Noun,16,16
うざい,い-Adjective,16,11
聴取,Noun,16,4
広い,い-Adjective,16,25
